Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Housing Preservation and Development,HEATING,HEAT,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11364,Oakland Gardens,11 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11412,Saint Albans,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11375,Forest Hills,06 QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11235,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11692,Arverne,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11102,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,11436,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10002,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,10014,NEW YORK,02 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11378,Maspeth,05 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10459,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10463,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL,MOLD,11385,Ridgewood,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,11218,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Mouse Sighting,11432,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10035,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11103,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11204,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10031,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Health and Mental Hygiene,Rodent,Rat Sighting,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10019,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11692,Arverne,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11427,Queens Village,13 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10035,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,11373,Elmhurst,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11368,Corona,03 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10039,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FIRE-ESCAPE,11367,Flushing,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10469,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,NONCONST,CARBON MONOXIDE,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,10463,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,VERMIN,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,TOILET,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,RADIATOR,11385,Ridgewood,05 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11218,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11436,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11104,Sunnyside,02 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10028,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10474,BRONX,02 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10002,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11231,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11228,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,10024,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11379,Middle Village,05 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11215,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,NONCONST,VERMIN,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11385,Ridgewood,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,SEWER,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11419,South Richmond Hill,10 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Health and Mental Hygiene,Rodent,Mouse Sighting,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,CARBON MONOXIDE,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11379,Middle Village,05 QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,CARBON MONOXIDE,11385,Ridgewood,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11379,Middle Village,05 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,TOILET,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11436,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11238,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,RADIATOR,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11206,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11210,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10461,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10463,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,RADIATOR,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,11436,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11411,Cambria Heights,13 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11357,Whitestone,07 QUEENS,QUEENS
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10459,BRONX,02 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11368,Corona,04 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10455,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,11419,South Richmond Hill,09 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10463,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,RADIATOR,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
