Agency,Business Title,Civil Service Title,Level,Division/Work Unit
HRA/DEPT OF SOCIAL SERVICES,"ASSISTANT DEPUTY COMMISSIONER, EMPLOYER PARTNERSHIPS",ASSISTANT DEPUTY COMMISSIONER,M3,Employment/Contract Svcs-Mgr
HRA/DEPT OF SOCIAL SERVICES,SOCIAL WORKER,SOCIAL WORKER,00,Domestic Violence-NM
DEPT OF ENVIRONMENT PROTECTION,Water Resource Associate,CITY RESEARCH SCIENTIST,01,Landfill Remediation
FIRE DEPARTMENT,Division Medical Director,AGENCY DEPUTY MEDICAL DIRECTOR,M6,Medical Director
FIRE DEPARTMENT,Division Medical Director,AGENCY DEPUTY MEDICAL DIRECTOR,M6,Medical Director
DEPT OF ENVIRONMENT PROTECTION,"Section Chief, Wholesale Water Management",ADMINISTRATIVE PROJECT MANAGER,M1,Watshed Plan Protec/Valhall
HRA/DEPT OF SOCIAL SERVICES,SOCIAL WORKER,SOCIAL WORKER,00,Domestic Violence-NM
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
HRA/DEPT OF SOCIAL SERVICES,COMPUTER SERVICE TECHNICIAN,COMPUTER SERVICE TECHNICIAN (C,02,Dep Admin Policy & Progm D
HRA/DEPT OF SOCIAL SERVICES,"FHR AGENCY REPRESENTATIVE, CENTRAL HEARING UNIT",ASSOCIATE JOB OPPORTUNITY SPEC,02,Fair Hearing Admin-NM
DEPT OF ENVIRONMENT PROTECTION,"Section Chief, Wholesale Water Management",ADMINISTRATIVE PROJECT MANAGER,M1,Watshed Plan Protec/Valhall
FIRE DEPARTMENT,Laborer,CITY LABORER,00,Support Services
FIRE DEPARTMENT,Laborer,CITY LABORER,00,Support Services
DEPT OF ENVIRONMENT PROTECTION,District Supervisor (Water & Sewer Systems),DISTRICT SUPERVISOR (WATER & S,00,Water Supply/Field Oper Mgt
DEPT OF ENVIRONMENT PROTECTION,District Supervisor (Water & Sewer Systems),DISTRICT SUPERVISOR (WATER & S,00,Water Supply/Field Oper Mgt
DEPT OF HEALTH/MENTAL HYGIENE,Associate Public Information Specialist,ASSOCIATE PUBLIC INFORMATION,01,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,Associate Public Information Specialist,ASSOCIATE PUBLIC INFORMATION,01,HIV/AIDS Prevention
DEPT OF ENVIRONMENT PROTECTION,GIS Analyst,COMPUTER PROGRAMMER ANALYST,01,WSO-Executive/Tech Mgmt Office
DEPT OF ENVIRONMENT PROTECTION,GIS Analyst,COMPUTER PROGRAMMER ANALYST,01,WSO-Executive/Tech Mgmt Office
DEPARTMENT OF CORRECTION,Personnel Supervisor,PROGRAM SPECIALIST  CORRECTION,03,A.M.K.C. - Civlian
DEPT OF ENVIRONMENT PROTECTION,Engineer in Charge - Capital Drainage Section,ADMINISTRATIVE ENGINEER,M1,Capital Planning Development
DEPT OF ENVIRONMENT PROTECTION,Engineer in Charge - Capital Drainage Section,ADMINISTRATIVE ENGINEER,M1,Capital Planning Development
DEPT OF ENVIRONMENT PROTECTION,Project Manager,CITY RESEARCH SCIENTIST,02,Landfill Remediation
DEPT OF ENVIRONMENT PROTECTION,Project Manager,CITY RESEARCH SCIENTIST,02,Landfill Remediation
DEPT OF HEALTH/MENTAL HYGIENE,Junior Data and Policy Analyst/Researcher,CITY RESEARCH SCIENTIST,01,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Junior Data and Policy Analyst/Researcher,CITY RESEARCH SCIENTIST,01,Mental Health
HRA/DEPT OF SOCIAL SERVICES,PROJECT MANAGER,CITY RESEARCH SCIENTIST,02,Data Reporting/Analysis-NM
DEPT OF HEALTH/MENTAL HYGIENE,CLINICAL LEAD/QUALITY IMPROVEMENT ADVISOR,ADMINISTRATIVE STAFF ANALYST (,00,Primary Care Info Project
DEPT OF HEALTH/MENTAL HYGIENE,CLINICAL LEAD/QUALITY IMPROVEMENT ADVISOR,ADMINISTRATIVE STAFF ANALYST (,00,Primary Care Info Project
DEPT OF HEALTH/MENTAL HYGIENE,"Criminalist, IA",CRIMINALIST,01,OCME-Molecular Genetics
DEPT OF HEALTH/MENTAL HYGIENE,"Criminalist, IA",CRIMINALIST,01,OCME-Molecular Genetics
DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),00,Douglaston Pump Station
DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),00,Douglaston Pump Station
HRA/DEPT OF SOCIAL SERVICES,PROJECT MANAGER,CITY RESEARCH SCIENTIST,02,Data Reporting/Analysis-NM
HRA/DEPT OF SOCIAL SERVICES,SAVE ANALYST,ADMINISTRATIVE STAFF ANALYST (,00,Off Of Supp Accountability-NM
HRA/DEPT OF SOCIAL SERVICES,SAVE ANALYST,ADMINISTRATIVE STAFF ANALYST (,00,Off Of Supp Accountability-NM
DEPT OF ENVIRONMENT PROTECTION,Deputy Director,ADMINISTRATIVE STAFF ANALYST (,00,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Oiler,OILER,00,Douglaston Pump Station
DEPT OF ENVIRONMENT PROTECTION,Oiler,OILER,00,Douglaston Pump Station
DEPT OF ENVIRONMENT PROTECTION,Port Marine Engineer (Vessels),PORT MARINE ENGINEER,00,Marine Section
DEPT OF ENVIRONMENT PROTECTION,Port Marine Engineer (Vessels),PORT MARINE ENGINEER,00,Marine Section
HRA/DEPT OF SOCIAL SERVICES,"DIRECTOR, BACK TO WORK OUTSTATIONED WORKER TEAM",SUPERVISOR III WELFARE,00,Employment/Contract Svcs-NM
DEPT OF ENVIRONMENT PROTECTION,Chief Organizational Development Specialist-Engagement Project Manager,STRATEGIC INITIATIVE SPECIALIS,00,Executive Management
DEPT OF ENVIRONMENT PROTECTION,Chief Organizational Development Specialist-Engagement Project Manager,STRATEGIC INITIATIVE SPECIALIS,00,Executive Management
DEPT OF ENVIRONMENT PROTECTION,Deputy Director,ADMINISTRATIVE STAFF ANALYST (,00,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Instrumentation Specialist,INSTRUMENTATION SPECIALIST,02,MathOpac
DEPT OF ENVIRONMENT PROTECTION,Instrumentation Specialist,INSTRUMENTATION SPECIALIST,02,MathOpac
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,01,Research & Investigation Unit
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,01,Research & Investigation Unit
NYC HOUSING AUTHORITY,Heating Plant Technician,HEATING PLANT TECHNICIAN (HA),00,Technical Service Department
DEPT OF HEALTH/MENTAL HYGIENE,"Finance/Budget Analyst, Health Care Access and Improvement",ADMINISTRATIVE STAFF ANALYST (,00,Health Care Access
DEPT OF HEALTH/MENTAL HYGIENE,"Finance/Budget Analyst, Health Care Access and Improvement",ADMINISTRATIVE STAFF ANALYST (,00,Health Care Access
DEPT OF ENVIRONMENT PROTECTION,Machinist,MACHINIST,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Machinist,MACHINIST,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Machinist's Helper,MACHINIST'S HELPER,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Machinist's Helper,MACHINIST'S HELPER,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Agency Coordinator,PRINCIPAL ADMINISTRATIVE ASSOC,02,Administration/Personnel Srv
DEPT OF ENVIRONMENT PROTECTION,Agency Coordinator,PRINCIPAL ADMINISTRATIVE ASSOC,02,Administration/Personnel Srv
CONSUMER AFFAIRS,"Director, Regulatory Compliance Division",EXECUTIVE AGENCY COUNSEL,M4,Legal Compliance & Fitness Div
CONSUMER AFFAIRS,"Director, Regulatory Compliance Division",EXECUTIVE AGENCY COUNSEL,M4,Legal Compliance & Fitness Div
FINANCIAL INFO SVCS AGENCY,Q A ANALYST,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Testing
DEPT OF ENVIRONMENT PROTECTION,Agency Coordinator,STAFF ANALYST,01,Administration/Personnel Srv
DEPT OF ENVIRONMENT PROTECTION,Agency Coordinator,STAFF ANALYST,01,Administration/Personnel Srv
DEPT OF ENVIRONMENT PROTECTION,Energy Policy Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Energy Policy Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Dept of Environment Protection
FINANCIAL INFO SVCS AGENCY,Q A ANALYST,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Testing
DEPT OF PARKS & RECREATION,Urban Park Ranger,URBAN PARK RANGER,00,Asst Comm for Public Programs
DEPT OF PARKS & RECREATION,Urban Park Ranger,URBAN PARK RANGER,00,Asst Comm for Public Programs
DEPT OF PARKS & RECREATION,Urban Park Ranger,URBAN PARK RANGER,00,Asst Comm for Public Programs
DEPT OF ENVIRONMENT PROTECTION,Deputy Chief of Construction Engineering,ADMINISTRATIVE ENGINEER,M1,Sewer Emergency
DEPARTMENT OF FINANCE,Senior Software Developer,COMPUTER SYSTEMS MANAGER,M2,Parking&Payments Applications
DEPT OF ENVIRONMENT PROTECTION,Agency Project Interfacing,ADMINISTRATIVE PROJECT MANAGER,M1,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Agency Project Interfacing,ADMINISTRATIVE PROJECT MANAGER,M1,JOCS- IFA
DEPT OF HEALTH/MENTAL HYGIENE,Director of Quality Assurance and Training,ADMINISTRATIVE STAFF ANALYST (,00,Vital Statistics/Vital Recor
DEPT OF INFO TECH & TELECOMM,Senior Project Manager,COMPUTER SYSTEMS MANAGER,M1,Project Mgmt Services
DEPT OF ENVIRONMENT PROTECTION,Chief Information Officer,DIRECTOR OF MANAGEMENT INFORMA,M5,Management Information Service
DEPT OF ENVIRONMENT PROTECTION,Chief Information Officer,DIRECTOR OF MANAGEMENT INFORMA,M5,Management Information Service
FIRE DEPARTMENT,Director of CDA Unit,ADMINISTRATIVE FIRE PROTECTION,M3,Fire Prevention CDA Unit
DEPT OF HEALTH/MENTAL HYGIENE,Director of Quality Assurance and Training,ADMINISTRATIVE STAFF ANALYST (,00,Vital Statistics/Vital Recor
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,02,Research & Investigation Unit
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,02,Research & Investigation Unit
DEPARTMENT OF BUILDINGS,Borough Enforcement Inspector,INSPECTOR (CONSTRUCTION),00,Emergency Operations
DEPT OF ENVIRONMENT PROTECTION,Assistant Director of Budget and Procurement,ADMINISTRATIVE PROCUREMENT ANA,M2,Water Supply/Administration
DEPT OF ENVIRONMENT PROTECTION,Assistant Director of Budget and Procurement,ADMINISTRATIVE PROCUREMENT ANA,M2,Water Supply/Administration
FIRE DEPARTMENT,Oracle Applications Developer (RBIS),COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Applications Developer (RBIS),COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Applications Developer (WTC),COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Applications Developer (WTC),COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,GIS Application Developer,COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,GIS Application Developer,COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
HOUSING PRESERVATION & DVLPMNT,"Project Manager, Primary Prevention Program",COMMUNITY COORDINATOR,00,Preservation Programs
HOUSING PRESERVATION & DVLPMNT,"Project Manager, Primary Prevention Program",COMMUNITY COORDINATOR,00,Preservation Programs
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Sys Operations-Bx Mgmt Eng
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Sys Operations-Bx Mgmt Eng
HOUSING PRESERVATION & DVLPMNT,"Project Manager, Year 15 Program",COMMUNITY COORDINATOR,00,Preservation Programs
FIRE DEPARTMENT,Application Administrator (WTC),COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Application Administrator (WTC),COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Web Center Manager/Developer,COMPUTER SPECIALIST (SOFTWARE),03,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Web Center Manager/Developer,COMPUTER SPECIALIST (SOFTWARE),03,Bureau of Tech Deve and Syst
DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager I,ASSOCIATE PROJECT MANAGER,01,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager I,ASSOCIATE PROJECT MANAGER,01,JOCS- IFA
HOUSING PRESERVATION & DVLPMNT,"Project Manager, Year 15 Program",COMMUNITY COORDINATOR,00,Preservation Programs
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE ENGINEER,M2,Cap Proj Brooklyn/SI
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE ENGINEER,M2,Cap Proj Brooklyn/SI
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Construction/Administration
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Construction/Administration
DEPT OF ENVIRONMENT PROTECTION,Environmental Compliance Professional,INDUSTRIAL HYGIENIST,02,Environmental Health Safety
DEPT OF ENVIRONMENT PROTECTION,Environmental Compliance Professional,INDUSTRIAL HYGIENIST,02,Environmental Health Safety
FIRE DEPARTMENT,Oracle Database Administrator (WTC),COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Database Administrator (WTC),COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
NYC HOUSING AUTHORITY,Labor Relations Officer,ADMINISTRATIVE LABOR RELATIONS,M2,Human Resources Department
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Truck Main Maintenance
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Truck Main Maintenance
DEPT OF ENVIRONMENT PROTECTION,Agency Attorney,AGENCY ATTORNEY,02,Comm Legis Affairs/Lefrak
DEPT OF ENVIRONMENT PROTECTION,Agency Attorney,AGENCY ATTORNEY,02,Comm Legis Affairs/Lefrak
DEPT OF ENVIRONMENT PROTECTION,Oiler,OILER,00,Wtr Sup/179 St Pump Sta Sys
DEPARTMENT OF PROBATION,Assistant General Counsel,AGENCY ATTORNEY,02,Admin Executive Offices
DEPARTMENT OF PROBATION,Assistant General Counsel,AGENCY ATTORNEY,02,Admin Executive Offices
DEPT OF ENVIRONMENT PROTECTION,Staff Analyst Trainee,STAFF ANALYST TRAINEE,00,WSO-Executive Div/Project Mgmt
DEPT OF ENVIRONMENT PROTECTION,Staff Analyst Trainee,STAFF ANALYST TRAINEE,00,WSO-Executive Div/Project Mgmt
DEPT OF ENVIRONMENT PROTECTION,Oiler,OILER,00,Wtr Sup/179 St Pump Sta Sys
ADMIN FOR CHILDREN'S SVCS,Tester	,COMPUTER PROGRAMMER ANALYST,02,"Mis Admin,Network Sysms Dvlpmt"
ADMIN FOR CHILDREN'S SVCS,Tester	,COMPUTER PROGRAMMER ANALYST,02,"Mis Admin,Network Sysms Dvlpmt"
DEPT OF INFO TECH & TELECOMM,BPM Policy Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Commissioner'S Office
DEPT OF INFO TECH & TELECOMM,BPM Policy Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Commissioner'S Office
NYC HOUSING AUTHORITY,Temporary Painter,PAINTER,00,Dept of Management & Planning
NYC HOUSING AUTHORITY,Temporary Painter,PAINTER,00,Dept of Management & Planning
ADMIN FOR CHILDREN'S SVCS,Documentation and Training Manager,COMPUTER SYSTEMS MANAGER,M1,"Mis Admin,Network Sysms Dvlpmt"
ADMIN FOR CHILDREN'S SVCS,Documentation and Training Manager,COMPUTER SYSTEMS MANAGER,M1,"Mis Admin,Network Sysms Dvlpmt"
CONSUMER AFFAIRS,Accela Help Desk Agent,COMPUTER SPECIALIST (SOFTWARE),02,Computer Services
NYC HOUSING AUTHORITY,Senior IT Program/Project Manager,COMPUTER SYSTEMS MANAGER,M2,Enterprise Portfolio Mgmt
NYC HOUSING AUTHORITY,Senior IT Program/Project Manager,COMPUTER SYSTEMS MANAGER,M2,Enterprise Portfolio Mgmt
DEPT OF INFO TECH & TELECOMM,CRM Solutions Designer,COMPUTER ASSOC (SOFTWARE),03,Project Mgmt Services
DEPT OF INFO TECH & TELECOMM,CRM Solutions Designer,COMPUTER ASSOC (SOFTWARE),03,Project Mgmt Services
DEPARTMENT OF FINANCE,Assessment Technology Supervisor,COMPUTER SPECIALIST (SOFTWARE),04,Property Assessment Technology
DEPARTMENT OF FINANCE,Assessment Technology Supervisor,COMPUTER SPECIALIST (SOFTWARE),04,Property Assessment Technology
CONSUMER AFFAIRS,Accela Help Desk Agent,COMPUTER SPECIALIST (SOFTWARE),02,Computer Services
DEPARTMENT OF BUILDINGS,Low Pressure Boiler Inspector,INSPECTOR (LOW PRESSURE BOILER,00,Construction Safety/Boilers
DEPARTMENT OF BUILDINGS,Low Pressure Boiler Inspector,INSPECTOR (LOW PRESSURE BOILER,00,Construction Safety/Boilers
DEPARTMENT OF BUILDINGS,Senior System Tester-Web Apps,COMPUTER SYSTEMS MANAGER,M1,Information Technology
TAXI & LIMOUSINE COMMISSION,ApplicationCompliance Specialist,COMMUNITY ASSOCIATE,00,Medal. Drver Licensing/Renew
TAXI & LIMOUSINE COMMISSION,ApplicationCompliance Specialist,COMMUNITY ASSOCIATE,00,Medal. Drver Licensing/Renew
ADMIN FOR CHILDREN'S SVCS,Project Manager,ADMINISTRATIVE STAFF ANALYST (,00,Mgmt Information Sys Operation
ADMIN FOR CHILDREN'S SVCS,Project Manager,ADMINISTRATIVE STAFF ANALYST (,00,Mgmt Information Sys Operation
DEPT OF HEALTH/MENTAL HYGIENE,Emergency Management Planner,ADMINISTRATIVE STAFF ANALYST (,00,OCME-Operations
DEPARTMENT OF BUILDINGS,Senior System Tester-Web Apps,COMPUTER SYSTEMS MANAGER,M1,Information Technology
ADMIN TRIALS AND HEARINGS,Desktop Support Aide,COLLEGE AIDE (ALL CITY DEPTS),02,ECB - Manhattan Office
ADMIN TRIALS AND HEARINGS,Desktop Support Aide,COLLEGE AIDE (ALL CITY DEPTS),02,ECB - Manhattan Office
DEPT OF HEALTH/MENTAL HYGIENE,Emergency Management Planner,ADMINISTRATIVE STAFF ANALYST (,00,OCME-Operations
NYC HOUSING AUTHORITY,Deputy Director for City Capital (*REVISED),ADMINISTRATIVE CONSTRUCTION PR,M2,Office of VP - Cap Proj
NYC HOUSING AUTHORITY,Deputy Director for City Capital (*REVISED),ADMINISTRATIVE CONSTRUCTION PR,M2,Office of VP - Cap Proj
DEPT OF ENVIRONMENT PROTECTION,Engineer In Charge of Pumping,ADMINISTRATIVE ENGINEER,M1,System Operations Management
DEPT OF ENVIRONMENT PROTECTION,Engineer In Charge of Pumping,ADMINISTRATIVE ENGINEER,M1,System Operations Management
DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),00,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),00,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Electrician's Helper,ELECTRICIANS HELPER,00,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Electrician's Helper,ELECTRICIANS HELPER,00,Croton Filtration Plant
DEPT OF HEALTH/MENTAL HYGIENE,"PCSI Intern - College Aide, 2nd Year Graduate",COLLEGE AIDE (ALL CITY DEPTS),01,Disease Control Administration
ADMIN FOR CHILDREN'S SVCS,Business Analyst,ADMINISTRATIVE STAFF ANALYST (,00,"Mis Admin,Network Sysms Dvlpmt"
ADMIN FOR CHILDREN'S SVCS,Business Analyst,ADMINISTRATIVE STAFF ANALYST (,00,"Mis Admin,Network Sysms Dvlpmt"
HRA/DEPT OF SOCIAL SERVICES,CALL CENTER PROJECT MANAGER,ADMINISTRATIVE STAFF ANALYST (,00,Constituent Services-NM
DEPT OF HEALTH/MENTAL HYGIENE,"PCSI Intern - College Aide, 2nd Year Graduate",COLLEGE AIDE (ALL CITY DEPTS),01,Disease Control Administration
DEPT OF ENVIRONMENT PROTECTION,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,M2,Executive Management
DEPT OF ENVIRONMENT PROTECTION,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,M2,Executive Management
DEPT OF ENVIRONMENT PROTECTION,Electrician,ELECTRICIAN,00,Croton Filtration Plant
HRA/DEPT OF SOCIAL SERVICES,CALL CENTER PROJECT MANAGER,ADMINISTRATIVE STAFF ANALYST (,00,Constituent Services-NM
HRA/DEPT OF SOCIAL SERVICES,QUALITY ASSURANCE ANALYST,ADMINISTRATIVE STAFF ANALYST (,00,Constituent Services-NM
HRA/DEPT OF SOCIAL SERVICES,QUALITY ASSURANCE ANALYST,ADMINISTRATIVE STAFF ANALYST (,00,Constituent Services-NM
HRA/DEPT OF SOCIAL SERVICES,TRAINING AND KNOWLEDGE MANAGEMENT ANALYST,ADMINISTRATIVE STAFF ANALYST (,00,Constituent Services-NM
DEPT OF ENVIRONMENT PROTECTION,Electrician,ELECTRICIAN,00,Croton Filtration Plant
FIRE DEPARTMENT,Asset Control Assistant,STOCK WORKER,02,Bureau of Tech Deve and Syst
DEPT OF HEALTH/MENTAL HYGIENE,Director of Office of Radiological Health,HEALTH SERVICES MANAGER,M2,Radiation Equipment
DEPT OF HEALTH/MENTAL HYGIENE,Director of Office of Radiological Health,HEALTH SERVICES MANAGER,M2,Radiation Equipment
HRA/DEPT OF SOCIAL SERVICES,TRAINING AND KNOWLEDGE MANAGEMENT ANALYST,ADMINISTRATIVE STAFF ANALYST (,00,Constituent Services-NM
DEPT OF HEALTH/MENTAL HYGIENE,Director of Food Safety and Community Sanitation,ASSOCIATE PUBLIC HEALTH SANITA,03,Food Safety & Community Sanit
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE ENGINEER,M2,Capital Projects Bronx/Queens
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE ENGINEER,M2,Capital Projects Bronx/Queens
HRA/DEPT OF SOCIAL SERVICES,SITEMINDER ENGINEER,COMPUTER SYSTEMS MANAGER,M1,HHS Connect-Mgr
FINANCIAL INFO SVCS AGENCY,STAFF ANALYST TRAINEE,STAFF ANALYST TRAINEE,00,Facilities Operations
FINANCIAL INFO SVCS AGENCY,STAFF ANALYST TRAINEE,STAFF ANALYST TRAINEE,00,Facilities Operations
DEPT OF ENVIRONMENT PROTECTION,Supervisor Watershed Maintenance I,SUPERVISOR (WATERSHED MAINTENA,01,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Supervisor Watershed Maintenance I,SUPERVISOR (WATERSHED MAINTENA,01,Croton Filtration Plant
ADMIN FOR CHILDREN'S SVCS,"Deputy Director, Business Office/Information Technology",ADMINISTRATIVE STAFF ANALYST (,00,"Mis Admin,Network Sysms Dvlpmt"
ADMIN FOR CHILDREN'S SVCS,"Deputy Director, Business Office/Information Technology",ADMINISTRATIVE STAFF ANALYST (,00,"Mis Admin,Network Sysms Dvlpmt"
HRA/DEPT OF SOCIAL SERVICES,SITEMINDER ENGINEER,COMPUTER SYSTEMS MANAGER,M1,HHS Connect-Mgr
DEPT OF ENVIRONMENT PROTECTION,Green Infrastructure Engineer,ENVIRONMENTAL ENGINEER,01,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,Green Infrastructure Engineer,CIVIL ENGINEER,01,Green Infrastructure
DEPT OF HEALTH/MENTAL HYGIENE,Competitive Procurement Analyst,PROCUREMENT ANALYST,03,Acco/Contracts
ADMIN FOR CHILDREN'S SVCS,Assistant Director,ADMINISTRATIVE STAFF ANALYST (,00,Dpty Comm Fnancl Svcs-Finance
ADMIN FOR CHILDREN'S SVCS,Assistant Director,ADMINISTRATIVE STAFF ANALYST (,00,Dpty Comm Fnancl Svcs-Finance
DEPT OF ENVIRONMENT PROTECTION,Instrumentation Specialist I,INSTRUMENTATION SPECIALIST,01,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Instrumentation Specialist I,INSTRUMENTATION SPECIALIST,01,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Computer Specialist II (Software),COMPUTER SPECIALIST (SOFTWARE),02,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Computer Specialist II (Software),COMPUTER SPECIALIST (SOFTWARE),02,Croton Filtration Plant
FIRE DEPARTMENT,Application Administrator (DOJ),COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
DEPT OF HEALTH/MENTAL HYGIENE,Competitive Procurement Analyst,PROCUREMENT ANALYST,03,Acco/Contracts
DEPT OF INFO TECH & TELECOMM,Technical Architect Support Intern,COLLEGE AIDE (ALL CITY DEPTS),02,IT Svcs/Data Center Planning
FIRE DEPARTMENT,Application Administrator (DOJ),COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Applications Developer (Fire Code),COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Applications Developer (Fire Code),COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Applications Developer (Fire Code),COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Applications Developer (Fire Code),COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
